cik,name,ticker,exchange
1441816,"MongoDB, Inc.",MDB,Nasdaq
1113169,PRICE T ROWE GROUP INC,TROW,Nasdaq
839923,VODAFONE GROUP PUBLIC LTD CO,VOD,Nasdaq
1034054,SBA COMMUNICATIONS CORP,SBAC,Nasdaq
916365,TRACTOR SUPPLY CO /DE/,TSCO,Nasdaq
1492426,Horizon Therapeutics Public Ltd Co,HZNP,Nasdaq
1434265,GENMAB A/S,GMAB,Nasdaq
1618921,"Walgreens Boots Alliance, Inc.",WBA,Nasdaq
946581,TAKE TWO INTERACTIVE SOFTWARE INC,TTWO,Nasdaq
1280452,MONOLITHIC POWER SYSTEMS INC,MPWR,Nasdaq
1178670,"ALNYLAM PHARMACEUTICALS, INC.",ALNY,Nasdaq
1065088,EBAY INC,EBAY,Nasdaq
1038683,RYANAIR HOLDINGS PLC,RYAAY,Nasdaq
1403568,"Ulta Beauty, Inc.",ULTA,Nasdaq
1837240,Symbotic Inc.,SYM,Nasdaq
1014473,VERISIGN INC/CA,VRSN,Nasdaq
1140536,WILLIS TOWERS WATSON PLC,WTW,Nasdaq
1060955,ICON PLC,ICLR,Nasdaq
1651308,"BeiGene, Ltd.",BGNE,Nasdaq
798941,FIRST CITIZENS BANCSHARES INC /DE/,FCNCA,Nasdaq
1713683,"Zscaler, Inc.",ZS,Nasdaq
1874178,"Rivian Automotive, Inc. / DE",RIVN,Nasdaq
1585521,"Zoom Video Communications, Inc.",ZM,Nasdaq
1274494,"FIRST SOLAR, INC.",FSLR,Nasdaq
728535,HUNT J B TRANSPORT SERVICES INC,JBHT,Nasdaq
1758730,Tradeweb Markets Inc.,TW,Nasdaq
1126328,PRINCIPAL FINANCIAL GROUP INC,PFG,Nasdaq
859737,HOLOGIC INC,HOLX,Nasdaq
1463101,"Enphase Energy, Inc.",ENPH,Nasdaq
1022671,STEEL DYNAMICS INC,STLD,Nasdaq
1679788,"Coinbase Global, Inc.",COIN,Nasdaq
908937,SIRIUS XM HOLDINGS INC.,SIRI,Nasdaq
35527,FIFTH THIRD BANCORP,FITB,Nasdaq
746515,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,EXPD,Nasdaq
1397911,LPL Financial Holdings Inc.,LPLA,Nasdaq
1319161,Warner Music Group Corp.,WMG,Nasdaq
1048477,BIOMARIN PHARMACEUTICAL INC,BMRN,Nasdaq
857005,PTC INC.,PTC,Nasdaq
4127,"SKYWORKS SOLUTIONS, INC.",SWKS,Nasdaq
20286,CINCINNATI FINANCIAL CORP,CINF,Nasdaq
717826,ERICSSON LM TELEPHONE CO,ERIC,Nasdaq
100517,"United Airlines Holdings, Inc.",UAL,Nasdaq
1754301,Fox Corp,FOXA,Nasdaq
49196,HUNTINGTON BANCSHARES INC /MD/,HBAN,Nasdaq
1353283,SPLUNK INC,SPLK,Nasdaq
1002047,"NetApp, Inc.",NTAP,Nasdaq
1015922,CHECK POINT SOFTWARE TECHNOLOGIES LTD,CHKP,Nasdaq
73124,NORTHERN TRUST CORP,NTRS,Nasdaq
1324424,"Expedia Group, Inc.",EXPE,Nasdaq
97210,"TERADYNE, INC",TER,Nasdaq
1086222,AKAMAI TECHNOLOGIES INC,AKAM,Nasdaq
1124140,EXACT SCIENCES CORP,EXAS,Nasdaq
922621,ERIE INDEMNITY CO,ERIE,Nasdaq
1483994,H World Group Ltd,HTHT,Nasdaq
1069183,"AXON ENTERPRISE, INC.",AXON,Nasdaq
1145197,INSULET CORP,PODD,Nasdaq
879169,INCYTE CORP,INCY,Nasdaq
1811210,"Lucid Group, Inc.",LCID,Nasdaq
1101302,ENTEGRIS INC,ENTG,Nasdaq
1065696,LKQ CORP,LKQ,Nasdaq
945841,POOL CORP,POOL,Nasdaq
877212,ZEBRA TECHNOLOGIES CORP,ZBRA,Nasdaq
1402436,SS&C Technologies Holdings Inc,SSNC,Nasdaq
1841666,APA Corp,APA,Nasdaq
1137789,Seagate Technology Holdings plc,STX,Nasdaq
1792044,Viatris Inc,VTRS,Nasdaq
1031308,BENTLEY SYSTEMS INC,BSY,Nasdaq
1611983,Liberty Broadband Corp,LBRDA,Nasdaq
72331,NORDSON CORP,NDSN,Nasdaq
864749,TRIMBLE INC.,TRMB,Nasdaq
1341766,"Celsius Holdings, Inc.",CELH,Nasdaq
1751008,AppLovin Corp,APP,Nasdaq
1802768,Royalty Pharma plc,RPRX,Nasdaq
1787425,XP Inc.,XP,Nasdaq
1711269,"Evergy, Inc.",EVRG,Nasdaq
849399,Gen Digital Inc.,GEN,Nasdaq
106040,WESTERN DIGITAL CORP,WDC,Nasdaq
1375365,"Super Micro Computer, Inc.",SMCI,Nasdaq
842023,BIO-TECHNE Corp,TECH,Nasdaq
1855612,Grab Holdings Ltd,GRAB,Nasdaq
352541,ALLIANT ENERGY CORP,LNT,Nasdaq
1003935,NICE Ltd.,NICE,Nasdaq
891103,"Match Group, Inc.",MTCH,Nasdaq
1897982,"Aspen Technology, Inc.",AZPN,Nasdaq
1883685,DraftKings Inc.,DKNG,Nasdaq
1801198,Legend Biotech Corp,LEGN,Nasdaq
1575965,"Gaming & Leisure Properties, Inc.",GLPI,Nasdaq
1564708,NEWS CORP,NWSA,Nasdaq
855658,LATTICE SEMICONDUCTOR CORP,LSCC,Nasdaq
1617640,"ZILLOW GROUP, INC.",ZG,Nasdaq
895126,CHESAPEAKE ENERGY CORP,CHK,Nasdaq
1660134,"Okta, Inc.",OKTA,Nasdaq
1056696,MANHATTAN ASSOCIATES INC,MANH,Nasdaq
866374,FLEX LTD.,FLEX,Nasdaq
1590895,"Caesars Entertainment, Inc.",CZR,Nasdaq
1070750,"HOST HOTELS & RESORTS, INC.",HST,Nasdaq
779152,JACK HENRY & ASSOCIATES INC,JKHY,Nasdaq
1428439,"ROKU, INC",ROKU,Nasdaq
1043277,"C. H. ROBINSON WORLDWIDE, INC.",CHRW,Nasdaq
1177702,SAIA INC,SAIA,Nasdaq
1174922,WYNN RESORTS LTD,WYNN,Nasdaq
1591698,Paylocity Holding Corp,PCTY,Nasdaq
1032975,LOGITECH INTERNATIONAL S.A.,LOGI,Nasdaq
1082554,UNITED THERAPEUTICS Corp,UTHR,Nasdaq
59527,LINCOLN ELECTRIC HOLDINGS INC,LECO,Nasdaq
1177609,"FIVE BELOW, INC",FIVE,Nasdaq
1527166,Carlyle Group Inc.,CG,Nasdaq
910606,REGENCY CENTERS CORP,REG,Nasdaq
1070423,PLAINS ALL AMERICAN PIPELINE LP,PAA,Nasdaq
1287750,ARES CAPITAL CORP,ARCC,Nasdaq
873303,"Sarepta Therapeutics, Inc.",SRPT,Nasdaq
1062579,AMDOCS LTD,DOX,Nasdaq
914475,NEUROCRINE BIOSCIENCES INC,NBIX,Nasdaq
1000228,HENRY SCHEIN INC,HSIC,Nasdaq
1002638,OPEN TEXT CORP,OTEX,Nasdaq
6201,American Airlines Group Inc.,AAL,Nasdaq
1261333,"DOCUSIGN, INC.",DOCU,Nasdaq
813828,Paramount Global,PARA,Nasdaq
1604778,"Qorvo, Inc.",QRVO,Nasdaq
1699838,"Confluent, Inc.",CFLT,Nasdaq
1048695,"F5, INC.",FFIV,Nasdaq
1289419,"Morningstar, Inc.",MORN,Nasdaq
1467623,"DROPBOX, INC.",DBX,Nasdaq
1278021,MARKETAXESS HOLDINGS INC,MKTX,Nasdaq
1419612,"SOLAREDGE TECHNOLOGIES, INC.",SEDG,Nasdaq
1370637,ETSY INC,ETSY,Nasdaq
1545772,Brookfield Property Partners L.P.,BPYPP,Nasdaq
1109354,BRUKER CORP,BRKR,Nasdaq
726958,CASEYS GENERAL STORES INC,CASY,Nasdaq
1027664,ELBIT SYSTEMS LTD,ESLT,Nasdaq
1783879,"Robinhood Markets, Inc.",HOOD,Nasdaq
20212,Churchill Downs Inc,CHDN,Nasdaq
730272,REPLIGEN CORP,RGEN,Nasdaq
46080,"HASBRO, INC.",HAS,Nasdaq
1232524,Jazz Pharmaceuticals plc,JAZZ,Nasdaq
723612,"AVIS BUDGET GROUP, INC.",CAR,Nasdaq
1438569,Grifols SA,GRFS,Nasdaq
1090425,LAMAR ADVERTISING CO/NEW,LAMR,Nasdaq
831641,TETRA TECH INC,TTEK,Nasdaq
813762,ICAHN ENTERPRISES L.P.,IEP,Nasdaq
1647088,WillScot Mobile Mini Holdings Corp.,WSC,Nasdaq
1570585,Liberty Global plc,LBTYA,Nasdaq
1880661,TPG Inc.,TPG,Nasdaq
350894,SEI INVESTMENTS CO,SEIC,Nasdaq
1635088,Roivant Sciences Ltd.,ROIV,Nasdaq
1642545,"Shockwave Medical, Inc.",SWAV,Nasdaq
851205,COGNEX CORP,CGNX,Nasdaq
1794515,ZoomInfo Technologies Inc.,ZI,Nasdaq
1884082,Polestar Automotive Holding UK PLC,PSNY,Nasdaq
818479,DENTSPLY SIRONA Inc.,XRAY,Nasdaq
1845338,monday.com Ltd.,MNDY,Nasdaq
935494,NATIONAL INSTRUMENTS CORP,NATI,Nasdaq
1069157,EAST WEST BANCORP INC,EWBC,Nasdaq
1818874,"SoFi Technologies, Inc.",SOFI,Nasdaq
1668397,"Medpace Holdings, Inc.",MEDP,Nasdaq
769520,MIDDLEBY Corp,MIDD,Nasdaq
1560385,Liberty Media Corp,LSXMA,Nasdaq
108312,"Woodward, Inc.",WWD,Nasdaq
355811,GENTEX CORP,GNTX,Nasdaq
63276,MATTEL INC /DE/,MAT,Nasdaq
866291,"ALLEGRO MICROSYSTEMS, INC.",ALGM,Nasdaq
1005284,UNIVERSAL DISPLAY CORP \PA\,OLED,Nasdaq
1618732,"Nutanix, Inc.",NTNX,Nasdaq
1289460,"Texas Roadhouse, Inc.",TXRH,Nasdaq
85535,ROYAL GOLD INC,RGLD,Nasdaq
1520697,"Acadia Healthcare Company, Inc.",ACHC,Nasdaq
939767,"EXELIXIS, INC.",EXEL,Nasdaq
1723089,ChampionX Corp,CHX,Nasdaq
1754581,Futu Holdings Ltd,FUTU,Nasdaq
853816,LANDSTAR SYSTEM INC,LSTR,Nasdaq
1910851,R1 RCM Inc. /DE,RCM,Nasdaq
1818201,CCC Intelligent Solutions Holdings Inc.,CCCS,Nasdaq
750004,"Light & Wonder, Inc.",LNW,Nasdaq
1842827,Kanzhun Ltd,BZ,Nasdaq
1653482,Gitlab Inc.,GTLB,Nasdaq
1723690,Bilibili Inc.,BILI,Nasdaq
1771917,"Karuna Therapeutics, Inc.",KRTX,Nasdaq
317540,"Coca-Cola Consolidated, Inc.",COKE,Nasdaq
1637810,FirstService Corp,FSV,Nasdaq
1486159,Chord Energy Corp,CHRD,Nasdaq
889331,LITTELFUSE INC /DE,LFUS,Nasdaq
1598110,CyberArk Software Ltd.,CYBR,Nasdaq
1358762,REATA PHARMACEUTICALS INC,RETA,Nasdaq
22356,COMMERCE BANCSHARES INC /MO/,CBSH,Nasdaq
1544522,Freshworks Inc.,FRSH,Nasdaq
885550,CREDIT ACCEPTANCE CORP,CACC,Nasdaq
1418819,Iridium Communications Inc.,IRDM,Nasdaq
1014739,"Option Care Health, Inc.",OPCH,Nasdaq
912767,UFP INDUSTRIES INC,UFPI,Nasdaq
1047127,"AMKOR TECHNOLOGY, INC.",AMKR,Nasdaq
1748797,BRP Inc.,DOOO,Nasdaq
1050140,DESCARTES SYSTEMS GROUP INC,DSGX,Nasdaq
230557,SELECTIVE INSURANCE GROUP INC,SIGI,Nasdaq
1049502,MKS INSTRUMENTS INC,MKSI,Nasdaq
1835963,Global-E Online Ltd.,GLBE,Nasdaq
802481,PILGRIMS PRIDE CORP,PPC,Nasdaq
1603923,Weatherford International plc,WFRD,Nasdaq
1092699,SPS COMMERCE INC,SPSC,Nasdaq
1433195,APPFOLIO INC,APPF,Nasdaq
1604821,"Natera, Inc.",NTRA,Nasdaq
1749723,New Fortress Energy Inc.,NFE,Nasdaq
1852131,Nextracker Inc.,NXT,Nasdaq
937556,MASIMO CORP,MASI,Nasdaq
1786431,Reynolds Consumer Products Inc.,REYN,Nasdaq
1334036,"Crocs, Inc.",CROX,Nasdaq
1428336,"HEALTHEQUITY, INC.",HQY,Nasdaq
1423689,AGNC Investment Corp.,AGNC,Nasdaq
874015,IONIS PHARMACEUTICALS INC,IONS,Nasdaq
1142417,"NEXSTAR MEDIA GROUP, INC.",NXST,Nasdaq
1159036,"HALOZYME THERAPEUTICS, INC.",HALO,Nasdaq
1846832,dLocal Ltd,DLO,Nasdaq
917273,RAMBUS INC,RMBS,Nasdaq
875357,BOK FINANCIAL CORP,BOKF,Nasdaq
1657853,"HERTZ GLOBAL HOLDINGS, INC",HTZ,Nasdaq
764038,SouthState Corp,SSB,Nasdaq
1076930,NOVANTA INC,NOVT,Nasdaq
1770787,"10x Genomics, Inc.",TXG,Nasdaq
1830043,Bumble Inc.,BMBL,Nasdaq
1125376,"ENSIGN GROUP, INC",ENSG,Nasdaq
1107843,"QUALYS, INC.",QLYS,Nasdaq
1720671,"HashiCorp, Inc.",HCP,Nasdaq
1567514,"Intra-Cellular Therapies, Inc.",ITCI,Nasdaq
1722608,"iQIYI, Inc.",IQ,Nasdaq
1113232,AXCELIS TECHNOLOGIES INC,ACLS,Nasdaq
1562088,"Duolingo, Inc.",DUOL,Nasdaq
109380,"ZIONS BANCORPORATION, NATIONAL ASSOCIATION /UT/",ZION,Nasdaq
1093691,PLUG POWER INC,PLUG,Nasdaq
1115055,PINNACLE FINANCIAL PARTNERS INC,PNFP,Nasdaq
1493594,"MACOM Technology Solutions Holdings, Inc.",MTSI,Nasdaq
1660280,"Tenable Holdings, Inc.",TENB,Nasdaq
1288847,"Five9, Inc.",FIVN,Nasdaq
69891,NATIONAL BEVERAGE CORP,FIZZ,Nasdaq
57515,LANCASTER COLONY CORP,LANC,Nasdaq
1492074,Abcam plc,ABCM,Nasdaq
1124941,BEACON ROOFING SUPPLY INC,BECN,Nasdaq
913353,Colliers International Group Inc.,CIGI,Nasdaq
932696,INSIGHT ENTERPRISES INC,NSIT,Nasdaq
1576789,Wix.com Ltd.,WIX,Nasdaq
1050446,MICROSTRATEGY Inc,MSTR,Nasdaq
1612042,Ascendis Pharma A/S,ASND,Nasdaq
1636222,Wingstop Inc.,WING,Nasdaq
1701732,Altair Engineering Inc.,ALTR,Nasdaq
1433642,Hamilton Lane INC,HLNE,Nasdaq
711377,NEOGEN CORP,NEOG,Nasdaq
1828108,"Aurora Innovation, Inc.",AUR,Nasdaq
1906324,QuidelOrtho Corp,QDEL,Nasdaq
763901,"POPULAR, INC.",BPOP,Nasdaq
1520262,Alkermes plc.,ALKS,Nasdaq
1378239,Central North Airport Group,OMAB,Nasdaq
1015328,WINTRUST FINANCIAL CORP,WTFC,Nasdaq
1070494,ACADIA PHARMACEUTICALS INC,ACAD,Nasdaq
911177,CASELLA WASTE SYSTEMS INC,CWST,Nasdaq
1800227,IAC Inc.,IAC,Nasdaq
1111928,IPG PHOTONICS CORP,IPGP,Nasdaq
1050797,COLUMBIA SPORTSWEAR CO,COLM,Nasdaq
833640,POWER INTEGRATIONS INC,POWI,Nasdaq
714310,VALLEY NATIONAL BANCORP,VLY,Nasdaq
1639300,"Ollie's Bargain Outlet Holdings, Inc.",OLLI,Nasdaq
1823529,"Enact Holdings, Inc.",ACT,Nasdaq
707179,OLD NATIONAL BANCORP /IN/,ONB,Nasdaq
1602065,Viper Energy Partners LP,VNOM,Nasdaq
1822479,Sotera Health Co,SHC,Nasdaq
1743881,"BridgeBio Pharma, Inc.",BBIO,Nasdaq
1569650,Bank OZK,OZK,Nasdaq
1476204,"Phillips Edison & Company, Inc.",PECO,Nasdaq
1521036,"Lantheus Holdings, Inc.",LNTH,Nasdaq
851520,EXPONENT INC,EXPO,Nasdaq
1114700,GRUPO FINANCIERO GALICIA SA,GGAL,Nasdaq
8858,AVNET INC,AVT,Nasdaq
1649094,"Vaxcyte, Inc.",PCVX,Nasdaq
1424929,FOX FACTORY HOLDING CORP,FOXF,Nasdaq
9326,BALCHEM CORP,BCPC,Nasdaq
1610950,"Syneos Health, Inc.",SYNH,Nasdaq
30697,Wendy's Co,WEN,Nasdaq
1038074,SILICON LABORATORIES INC.,SLAB,Nasdaq
1381640,Melco Resorts & Entertainment LTD,MLCO,Nasdaq
1817358,"Academy Sports & Outdoors, Inc.",ASO,Nasdaq
38725,FRANKLIN ELECTRIC CO INC,FELE,Nasdaq
772406,"CIRRUS LOGIC, INC.",CRUS,Nasdaq
814453,NEWELL BRANDS INC.,NWL,Nasdaq
1759509,"Lyft, Inc.",LYFT,Nasdaq
1820953,"Affirm Holdings, Inc.",AFRM,Nasdaq
1833756,"Leonardo DRS, Inc.",DRS,Nasdaq
36029,FIRST FINANCIAL BANKSHARES INC,FFIN,Nasdaq
1576280,"Guardant Health, Inc.",GH,Nasdaq
840489,"FirstCash Holdings, Inc.",FCFS,Nasdaq
1029199,"EURONET WORLDWIDE, INC.",EEFT,Nasdaq
822663,INTER PARFUMS INC,IPAR,Nasdaq
729986,UNITED BANKSHARES INC/WV,UBSI,Nasdaq
927003,ADVANCED ENERGY INDUSTRIES INC,AEIS,Nasdaq
1782170,"Remitly Global, Inc.",RELY,Nasdaq
924805,Freedom Holding Corp.,FRHC,Nasdaq
20520,"Frontier Communications Parent, Inc.",FYBR,Nasdaq
1638833,"Surgery Partners, Inc.",SGRY,Nasdaq
887343,"COLUMBIA BANKING SYSTEM, INC.",COLB,Nasdaq
861878,STERICYCLE INC,SRCL,Nasdaq
855654,"ImmunoGen, Inc.",IMGN,Nasdaq
1363829,Enstar Group LTD,ESGR,Nasdaq
1808220,"GoHealth, Inc.",GOCO,Nasdaq
1412558,Evotec SE,EVO,Nasdaq
1381668,TFS Financial CORP,TFSL,Nasdaq
1676238,"Braze, Inc.",BRZE,Nasdaq
856982,MERIT MEDICAL SYSTEMS INC,MMSI,Nasdaq
874866,CORVEL CORP,CRVL,Nasdaq
1280058,BLACKBAUD INC,BLKB,Nasdaq
1575515,"Sprouts Farmers Market, Inc.",SFM,Nasdaq
1111335,VISTEON CORP,VC,Nasdaq
1803599,Concentrix Corp,CNXC,Nasdaq
1495153,MakeMyTrip Ltd,MMYT,Nasdaq
1611647,"Freshpet, Inc.",FRPT,Nasdaq
1674416,CRISPR Therapeutics AG,CRSP,Nasdaq
1013857,PEGASYSTEMS INC,PEGA,Nasdaq
933136,Mr. Cooper Group Inc.,COOP,Nasdaq
1745431,StoneCo Ltd.,STNE,Nasdaq
1839439,"PAYCOR HCM, INC.",PYCR,Nasdaq
1868941,"Fluence Energy, Inc.",FLNC,Nasdaq
1581990,PLAINS GP HOLDINGS LP,PAGP,Nasdaq
1338749,POTLATCHDELTIC CORP,PCH,Nasdaq
1531048,"Inari Medical, Inc.",NARI,Nasdaq
1001082,DISH Network CORP,DISH,Nasdaq
29002,DIODES INC /DEL/,DIOD,Nasdaq
1078271,EXTREME NETWORKS INC,EXTR,Nasdaq
1178879,"AMICUS THERAPEUTICS, INC.",FOLD,Nasdaq
797721,VIASAT INC,VSAT,Nasdaq
1551306,"Progyny, Inc.",PGNY,Nasdaq
1492422,"Apellis Pharmaceuticals, Inc.",APLS,Nasdaq
1848309,Sigma Lithium Corp,SGML,Nasdaq
933974,"Azenta, Inc.",AZTA,Nasdaq
921738,"PENN Entertainment, Inc.",PENN,Nasdaq
750577,HANCOCK WHITNEY CORP,HWC,Nasdaq
917520,INTEGRA LIFESCIENCES HOLDINGS CORP,IART,Nasdaq
1836470,Sportradar Group AG,SRAD,Nasdaq
1466593,Otter Tail Corp,OTTR,Nasdaq
1702744,Simply Good Foods Co,SMPL,Nasdaq
817720,SYNAPTICS Inc,SYNA,Nasdaq
42582,GOODYEAR TIRE & RUBBER CO /OH/,GT,Nasdaq
1828016,Playtika Holding Corp.,PLTK,Nasdaq
1580560,Flywire Corp,FLYW,Nasdaq
928876,TOWER SEMICONDUCTOR LTD,TSEM,Nasdaq
1032033,SLM Corp,SLM,Nasdaq
1651052,Focus Financial Partners Inc.,FOCS,Nasdaq
1012019,RUSH ENTERPRISES INC TX,RUSHA,Nasdaq
1158324,"COGENT COMMUNICATIONS HOLDINGS, INC.",CCOI,Nasdaq
1590364,FTAI Aviation Ltd.,FTAI,Nasdaq
1831651,"Shoals Technologies Group, Inc.",SHLS,Nasdaq
1109345,NOVA LTD.,NVMI,Nasdaq
1434588,"Grand Canyon Education, Inc.",LOPE,Nasdaq
1645113,NovoCure Ltd,NVCR,Nasdaq
824142,"AAON, INC.",AAON,Nasdaq
1902733,"nCino, Inc.",NCNO,Nasdaq
1441683,APPIAN CORP,APPN,Nasdaq
1652130,"Intellia Therapeutics, Inc.",NTLA,Nasdaq
857855,UNITED COMMUNITY BANKS INC,UCBI,Nasdaq
1805387,"Cerevel Therapeutics Holdings, Inc.",CERE,Nasdaq
912615,URBAN OUTFITTERS INC,URBN,Nasdaq
1771515,Grocery Outlet Holding Corp.,GO,Nasdaq
1361113,VARONIS SYSTEMS INC,VRNS,Nasdaq
1388658,"iRhythm Technologies, Inc.",IRTC,Nasdaq
883984,ICU MEDICAL INC/DE,ICUI,Nasdaq
1579428,"Axsome Therapeutics, Inc.",AXSM,Nasdaq
1157601,"MADRIGAL PHARMACEUTICALS, INC.",MDGL,Nasdaq
1633978,Lumentum Holdings Inc.,LITE,Nasdaq
760498,BANCFIRST CORP /OK/,BANF,Nasdaq
891024,"PATTERSON COMPANIES, INC.",PDCO,Nasdaq
1796022,StepStone Group Inc.,STEP,Nasdaq
